drone_id,unique_product_code,model_type,manufacturer,manufacturer_code,nature,product_type,product_category,registration_country,real_name_reg_id,owner_type,airworthiness,mass_empty,mass_total_max,length_total,width_total,height_total,rotor_count,working_temp_range,protection_level,max_speed,cruise_speed,climb_rate_typical,climb_rate_max,descent_rate_typical,descent_rate_max,turn_rate_typical,turn_rate_max,takeoff_landing_wind_resist,operation_wind_resist,control_frequency,navigation_mode,autonomous_capability,obstacle_avoidance,sensor_list,electronic_fence,perception_range,flight_time_avg,flight_time_max,energy_type,battery_capacity,battery_voltage,energy_consumption_rate,charging_time,observe_data_sources,orient_context,decide_strategy,act_command_types,ooda_cycle_time,image_filename,status,current_location,last_update,,,,,,,,,,,,,,,,,,,,
UAV-20241128-0010,DTEVO20250010,EVO II Pro,深圳道通智能航空技术股份有限公司,AUTEL,民用/行业级,无人驾驶航空器/中型,四旋翼多旋翼无人机,中国,12345678910,企业/单位,有合规适航许可,3.8,5.5,1.5,1.8,0.6,4,-20℃至50℃,IP55,20,15,2.5,5,1.4,4,7.5,11,12,12,2.4/5.8,GNSS+RTK+视觉导航+电子围栏,自主起降、实时监控、轨迹追踪、语音喊话、自动避障,全向视觉避障，红外夜视感知，障碍物测距、绕行、悬停,"[GNSS, RTK, 视觉传感器, 红外夜视摄像头, IMU, 超声波传感器]",TRUE,30,40,50,智能锂电池,7100,15.4,18,90,"[GNSS, RTK, 视觉传感器, 红外夜视, IMU]","{电子围栏: True, 抗风等级: 12m/s, 剩余电量: 65%, 障碍物距离: 15m}",自主起降、轨迹追踪、避障绕行、低电量返航、异常悬停,"[起飞, 降落, 轨迹点导航, 语音喊话, 避障, 返航]",50-100,DTEVO20250010.webp,作业中,莫干山地信实验室,2026/3/15,,,,,,,,,,,,,,,,,,,,
UAV-20250308-M3E-001,DJI-M3E-20250001,Mavic 3 Enterprise,深圳市大疆创新科技有限公司,DJI,民用/行业级,无人驾驶航空器/轻型,四旋翼多旋翼无人机,中国,12345678911,企业/单位,有合规适航许可,2.1,3,0.98,1.02,0.34,4,-10℃ 至 40℃,IP54,19,12,2,4,1.2,3.5,8,12,10,10,,GNSS+RTK+视觉导航+电子围栏,自主起降、智能跟随、轨迹规划、避障绕行、热点环绕,全向视觉避障+红外补光，支持障碍物精准测距与智能绕行,"[GNSS, RTK, 视觉传感器, IMU, 红外摄像头, 激光测距传感器]",TRUE,25,45,55,智能锂电池,5000,15.2,15,80,"[GNSS, RTK, 视觉传感器, 红外摄像头, 激光测距, IMU]","{电子围栏: True, 抗风等级: 10m/s, 剩余电量: 70%, 跟随目标距离: 8m}",自主起降、智能跟随、避障绕行、低电量返航、热点环绕保持,"[起飞, 降落, 轨迹规划, 智能跟随, 避障, 返航, 热点环绕]",40-80,DJI-M3E-20250001.jpg,停飞,千寻位置,2026/3/16,,,,,,,,,,,,,,,,,,,,
极飞V402025款,UAV-20250308-V40-001,XAG-V40-20250001,广州极飞科技股份有限公司,XAG,民用/农业植保专用,无人驾驶航空器/中型,六旋翼植保多旋翼无人机,中国,12345678912,农业合作社/规模化农户,有合规适航许可,4.2,6.5,1.6,1.7,0.75,6,-10℃ 至 45℃,IP67,15,10,1.8,3.5,1,3,6.5,9.5,11,11,,GNSS+RTK+农田导航+电子围栏,自主起降、航线规划、断点续喷、变量喷洒、自动避障,前后左右视觉避障+雷达测距，适配农田障碍物识别,"[GNSS, RTK, 视觉传感器, IMU, 雷达传感器, 流量传感器, 高度传感器]",TRUE,20,35,40,高容量植保专用锂电池,12000,22.2,35,120,"[GNSS, RTK, 视觉传感器, 雷达, 流量传感器, IMU]","{电子围栏: True, 抗风等级: 11m/s, 剩余电量: 60%, 喷洒流量: 1.2L/min, 作物高度: 0.5m}",自主起降、航线规划、断点续喷、避障绕行、低电量返航、药液不足告警,"[起飞, 降落, 航线规划, 喷洒启动/停止, 变量调节, 避障, 返航, 断点续喷]",60-120,UAV-20250308-V40-001.webp,检修中,慧通公司,2026/3/17,,,,,,,,,,,,,,,,,,,,
UAV-0002-ARK40-002,SF20250008,ARK40,顺丰科技,SFTEC,民用/行业级,无人驾驶航空器/大型,六旋翼多旋翼无人机,中国,,物流企业,有合规适航许可,25,45,7.5,12.8,2.2,6,-10℃至40℃,IP54,150,110,5,8,4,6,10,15,10,10,2.4/5.8,GNSS+RTK+视觉导航+电子围栏,自主起降、航线规划、智能返航、自动避障,前后左右视觉避障，障碍物测距与绕行,"[GNSS, RTK, 视觉传感器, IMU, 雷达传感器]",TRUE,25,45,65,智能锂电池,22000mAh,22.2,30,120,"[GNSS, RTK, 视觉传感器, 雷达, 流量传感器, IMU]","{电子围栏: True, 抗风等级: 11m/s, 剩余电量: 60%, 喷洒流量: 1.2L/min, 作物高度: 0.7m}",,"[起飞, 降落, 轨迹规划, 智能跟随, 避障, 返航, 热点环绕]",,ARK40.png,,,,,,,,,,,,,,,,,,,,,,,
UAV-0003-M6E-003,KBT20250007,M6E,深圳科比特航空,KBT,民用/行业级,无人驾驶航空器/中型,六旋翼多旋翼无人机,中国,,企业/单位,有合规适航许可,18.5,32,4,5.2,1.5,6,-15℃至45℃,IP54,22,16,3,5,2,4,8,12,10,10,2.4/5.8,GNSS+RTK+视觉导航+电子围栏,自主起降、轨迹规划、实时监控、智能返航,全向视觉避障，障碍物识别与绕行,"[GNSS, RTK, 视觉传感器, IMU, 激光雷达]",TRUE,20,35,50,智能锂电池,16000mAh,22.2,25,100,"[GNSS, RTK, 视觉传感器, 雷达, 流量传感器, IMU]","{电子围栏: True, 抗风等级: 11m/s, 剩余电量: 60%, 喷洒流量: 1.2L/min, 作物高度: 0.8m}",,"[起飞, 降落, 轨迹规划, 智能跟随, 避障, 返航, 热点环绕]",,M6E.png,,,,,,,,,,,,,,,,,,,,,,,
UAV-0004-M500-004,HIK20250006,M500,杭州海康威视,HIKVISION,民用/行业级,无人驾驶航空器/中型,四旋翼多旋翼无人机,中国,,企业/单位,有合规适航许可,9.2,15,3,3.5,0.9,4,-20℃至50℃,IP55,25,19,3,6,2,5,8,12,12,12,2.4/5.8,GNSS+RTK+视觉导航+电子围栏,自主起降、智能巡航、自动避障、热成像监控,全向视觉避障+红外感知，障碍物精准识别,"[GNSS, RTK, 视觉传感器, IMU, 红外热成像, 激光测距]",TRUE,35,40,60,智能锂电池,20000mAh,22.2,20,90,"[GNSS, RTK, 视觉传感器, 雷达, 流量传感器, IMU]","{电子围栏: True, 抗风等级: 11m/s, 剩余电量: 60%, 喷洒流量: 1.2L/min, 作物高度: 0.9m}",,"[起飞, 降落, 轨迹规划, 智能跟随, 避障, 返航, 热点环绕]",,M500.png,,,,,,,,,,,,,,,,,,,,,,,
UAV-0005-EH216-S-005,EH20250004,EH216-S,广州亿航智能,EHANG,民用/行业级,载人无人机,十六旋翼多旋翼无人机,中国,,企业/单位,有合规适航许可,38,60,8.2,13.5,2.5,16,-10℃至40℃,IP54,130,100,5,8,3,5,6,10,8,8,2.4/5.8,GNSS+RTK+视觉导航+电子围栏,自主起降、自动驾驶、智能避障、自动返航,全向视觉避障+多角度监控，乘客安全保障,"[GNSS, RTK, 视觉传感器, IMU, 激光雷达, 多摄像头]",TRUE,30,30,40,智能锂电池,100000mAh,400,80,180,"[GNSS, RTK, 视觉传感器, 雷达, 流量传感器, IMU]","{电子围栏: True, 抗风等级: 11m/s, 剩余电量: 60%, 喷洒流量: 1.2L/min, 作物高度: 0.10m}",,"[起飞, 降落, 轨迹规划, 智能跟随, 避障, 返航, 热点环绕]",,EH216-S.jpg,,,,,,,,,,,,,,,,,,,,,,,
UAV-0006-WingLoon-006,AVIC20250003,WingLoong I-D,中航工业成都所,AVIC,军用/行业级,侦察无人机,固定翼无人机,中国,,政府/军队,有合规适航许可,120,180,9.8,14.5,3.2,2,-40℃至60℃,IP65,280,220,10,15,8,12,5,8,15,15,卫星/微波,GNSS+INS+惯导+电子围栏,自主起降、自主巡航、自主返航、侦察打击,雷达避障+红外感知+地形跟踪,"[GNSS, INS, 雷达, 红外, 光电吊舱, 惯导]",TRUE,500,480,600,燃油/混动,混动燃油,28,20,30,"[GNSS, RTK, 视觉传感器, 雷达, 流量传感器, IMU]","{电子围栏: True, 抗风等级: 11m/s, 剩余电量: 60%, 喷洒流量: 1.2L/min, 作物高度: 0.11m}",,"[起飞, 降落, 轨迹规划, 智能跟随, 避障, 返航, 热点环绕]",,WingLoong_I-D.jpeg,,,,,,,,,,,,,,,,,,,,,,,
UAV-0007-M350RTK-007,DJM20250002,M350 RTK,大疆创新科技,DJI,民用/行业级,无人驾驶航空器/中型,四旋翼多旋翼无人机,中国,,企业/单位,有合规适航许可,6.8,9.5,2.5,3.1,0.75,4,-20℃至50℃,IP55,23,18,2.5,6,1.5,5,8,12,12,12,2.4/5.8,GNSS+RTK+视觉导航+电子围栏,自主起降、智能巡航、轨迹规划、自动避障,全向视觉避障+RTK精准定位，障碍物智能绕行,"[GNSS, RTK, 视觉传感器, IMU, 激光雷达]",TRUE,25,55,70,智能锂电池,4280mAh×4,59.2,15,120,"[GNSS, RTK, 视觉传感器, 雷达, 流量传感器, IMU]","{电子围栏: True, 抗风等级: 11m/s, 剩余电量: 60%, 喷洒流量: 1.2L/min, 作物高度: 0.12m}",,"[起飞, 降落, 轨迹规划, 智能跟随, 避障, 返航, 热点环绕]",,M350_RTK.png,,,,,,,,,,,,,,,,,,,,,,,
UAV-0008-TH-800Pr-008,TH80020250001,TH-800Pro,杭州天航科技,THKJ,民用/行业级,无人驾驶航空器/中型,四旋翼多旋翼无人机,中国,,企业/单位,有合规适航许可,8.5,12,2.8,3.2,0.8,4,-15℃至45℃,IP54,30,20,3,6,2,4,8,12,10,10,2.4/5.8,GNSS+RTK+视觉导航+电子围栏,自主起降、智能巡航、轨迹规划、自动避障,全向视觉避障，障碍物识别与绕行,"[GNSS, RTK, 视觉传感器, IMU]",TRUE,25,60,90,智能锂电池,18000mAh,22.2,18,90,"[GNSS, RTK, 视觉传感器, 雷达, 流量传感器, IMU]","{电子围栏: True, 抗风等级: 11m/s, 剩余电量: 60%, 喷洒流量: 1.2L/min, 作物高度: 0.13m}",,"[起飞, 降落, 轨迹规划, 智能跟随, 避障, 返航, 热点环绕]",,TH-800Pro.webp,,,,,,,,,,,,,,,,,,,,,,,
UAV-0009-P100Pro-009,XA20250005,P100 Pro,广州极飞科技,XAIRCRAFT,民用/农业植保专用,无人驾驶航空器/中型,四旋翼植保无人机,中国,,农业合作社,有合规适航许可,15.8,28,3.6,4.8,1.2,4,-10℃至45℃,IP67,18,12,2,4,1.5,3,6,9,12,12,2.4/5.8,GNSS+RTK+农田导航+电子围栏,自主起降、航线规划、断点续喷、变量喷洒,全向视觉避障+雷达测距，农田障碍物识别,"[GNSS, RTK, 视觉传感器, IMU, 雷达, 流量传感器]",TRUE,20,25,35,智能锂电池,12000mAh×2,44.4,35,120,"[GNSS, RTK, 视觉传感器, 雷达, 流量传感器, IMU]","{电子围栏: True, 抗风等级: 11m/s, 剩余电量: 60%, 喷洒流量: 1.2L/min, 作物高度: 0.14m}",,"[起飞, 降落, 轨迹规划, 智能跟随, 避障, 返航, 热点环绕]",,P100_Pro.png,,,,,,,,,,,,,,,,,,,,,,,
UAV-0010-D2000-010,FM20250009,D2000,上海飞马机器人,FEIMA,民用/行业级,测绘无人机,四旋翼多旋翼无人机,中国,,测绘企业,有合规适航许可,85,120,8.8,10.5,2.8,4,-20℃至50℃,IP65,180,140,8,12,5,8,6,10,13,13,2.4/5.8,GNSS+RTK+视觉导航+电子围栏,自主起降、智能巡航、测绘作业、自动避障,全向视觉避障+激光雷达，长距离感知,"[GNSS, RTK, 视觉传感器, IMU, 激光雷达, 全画幅相机]",TRUE,200,180,240,智能锂电池,25000mAh,22.2,12,150,"[GNSS, RTK, 视觉传感器, 雷达, 流量传感器, IMU]","{电子围栏: True, 抗风等级: 11m/s, 剩余电量: 60%, 喷洒流量: 1.2L/min, 作物高度: 0.15m}",,"[起飞, 降落, 轨迹规划, 智能跟随, 避障, 返航, 热点环绕]",,D2000.png,,,,,,,,,,,,,,,,,,,,,,,
UAV-0011-M3TD-011,1060506334505467904,M3TD,大疆,DJI,民用/行业级,无人驾驶航空器/轻型,四旋翼多旋翼无人机,中国,,企业/单位,有合规适航许可,1.41,1610,0.34,0.4,0.15,4,-20℃至45℃,IP54,21,15,2,8,1,6,6,25,8,12,2.4/5.8,GNSS+RTK+视觉导航+电子围栏,自主起降、智能跟随、热点环绕、自动避障,全向视觉避障+红外补光，障碍物精准识别,"[GNSS, RTK, 视觉传感器, IMU, 红外摄像头, 激光测距]",TRUE,15,40,50,智能锂电池,5000mAh,15.2,15,80,"[GNSS, RTK, 视觉传感器, 雷达, 流量传感器, IMU]","{电子围栏: True, 抗风等级: 11m/s, 剩余电量: 60%, 喷洒流量: 1.2L/min, 作物高度: 0.16m}",,"[起飞, 降落, 轨迹规划, 智能跟随, 避障, 返航, 热点环绕]",,M3TD.jpg,,,,,,,,,,,,,,,,,,,,,,,
