规则维度,规则名称,参数名,参数值,配置要求/说明,来源,来源文号
空域管理类,空域分类与动态划设规则,地理坐标精度,经纬度精确至0.0001°,三维数字空域图可视化，支持动态定义,无人驾驶航空器飞行管理暂行条例,国务院令第761号 第十三~十七条
空域管理类,空域分类与动态划设规则,高度层精度,垂直精度1米,三维数字空域图可视化，支持动态定义,无人驾驶航空器飞行管理暂行条例,国务院令第761号 第十三~十七条
空域管理类,空域分类与动态划设规则,生效/失效时间精度,精确至分钟,支持按时间动态调整空域范围,无人驾驶航空器飞行管理暂行条例,国务院令第761号 第十三条
空域管理类,空域分类与动态划设规则,空域状态更新频率,≤5秒/次,实时更新空域使用状态,低空数字空域标准体系（行业参考值）,T/CICC 27001-2024
空域管理类,空域分类与动态划设规则,冲突检测响应时延,≤1秒,快速检测空域使用冲突,低空交通管理技术要求（行业参考值）,T/CICC 27001-2024
空域管理类,空域网格化编码规则,栅格物理尺寸,边长1米立方体,三维空域最小管理单元,低空数字空域标准体系（行业参考值）,T/CICC 27001-2024
空域管理类,空域网格化编码规则,编码规则,地理坐标+高度层+栅格序号,每个栅格唯一编码,低空数字空域标准体系（行业参考值）,T/CICC 27001-2024
空域管理类,空域网格化编码规则,栅格状态更新频率,≤5秒/次,与空域状态同步更新,低空数字空域标准体系（行业参考值）,T/CICC 27001-2024
空域管理类,禁飞区准入管控规则,边界预警距离,≥500米,接近禁飞区提前预警,无人驾驶航空器飞行管理暂行条例,国务院令第761号 第十四条
空域管理类,禁飞区准入管控规则,闯入告警触发时延,≤0.5秒,闯入后立即最高等级告警,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.105条
空域管理类,禁飞区准入管控规则,紧急审批准入条件,仅军事/应急救援类任务,无特殊审批禁止进入,无人驾驶航空器飞行管理暂行条例,国务院令第761号 第十四条
空域管理类,管制区申请审批规则,申请提交提前时长,≥2小时,提前提交准入申请,无人驾驶航空器飞行管理暂行条例,国务院令第761号 第三十一条
空域管理类,管制区申请审批规则,审批响应时限,≤30分钟,及时反馈审批结果,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.215条
空域管理类,管制区申请审批规则,获批使用有效时长,最长24小时,按申请需求设定,无人驾驶航空器飞行管理暂行条例,国务院令第761号 第三十一条
飞行计划与审批类,飞行计划申报规范规则,坐标点采集间隔,≤1公里/个,三维航线坐标点序列要求,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.215条
飞行计划与审批类,飞行计划申报规范规则,计划修改锁定时长,审批受理后至结果反馈前,核心信息不可修改,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.215条
飞行计划与审批类,飞行计划自动化合规校验规则,校验响应时延,≤10秒/次,快速完成多维度校验,低空交通管理技术要求（行业参考值）,T/CICC 27001-2024
飞行计划与审批类,飞行计划自动化合规校验规则,冲突判定阈值,同空域同时间重叠≥100米,判定空域时间冲突,低空飞行安全间隔管控规范,T/CICC 27007-2025
飞行计划与审批类,飞行计划自动化合规校验规则,修改重审次数,单日最多3次,限制重复修改重审,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.215条
飞行计划与审批类,飞行计划审批决策规则,自动审批处理时长,≤1分钟,常规计划自动审批,低空交通管理技术要求（行业参考值）,T/CICC 27001-2024
飞行计划与审批类,飞行计划审批决策规则,人工复核时限,≤1小时,复杂计划人工复核,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.215条
飞行计划与审批类,飞行计划审批决策规则,审批结果推送时延,≤5秒,实时推送审批结果,低空交通管理技术要求（行业参考值）,T/CICC 27001-2024
飞行计划与审批类,飞行前起飞报备规则,起飞报备提前时长,15分钟,获批后起飞前报备,无人驾驶航空器飞行管理暂行条例,国务院令第761号 第三十二条
飞行计划与审批类,飞行前起飞报备规则,报备有效时限,报备后30分钟内,超时未起飞报备失效,无人驾驶航空器飞行管理暂行条例,国务院令第761号 第三十二条
飞行计划与审批类,飞行前起飞报备规则,失效重报备间隔,≥5分钟,报备失效后需间隔重报,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.225条
飞行计划与审批类,飞行状态实时监视与异常告警规则,状态信息上报频率,≤1秒/次,实时上报飞行器状态,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.235条
飞行计划与审批类,飞行状态实时监视与异常告警规则,位置偏差阈值,≥50米,判定偏离获批计划,低空飞行安全间隔管控规范,T/CICC 27007-2025
飞行计划与审批类,飞行状态实时监视与异常告警规则,高度偏差阈值,≥20米,判定偏离获批计划,低空飞行安全间隔管控规范,T/CICC 27007-2025
飞行计划与审批类,飞行状态实时监视与异常告警规则,速度偏差阈值,≥10km/h,判定偏离获批计划,低空飞行安全间隔管控规范,T/CICC 27007-2025
飞行行为与性能类,分空域分机型飞行高度速度限制规则,适飞区微型无人机最大真高,120米,高度限制,无人驾驶航空器飞行管理暂行条例,国务院令第761号 第十三条第(一)款
飞行行为与性能类,分空域分机型飞行高度速度限制规则,适飞区轻型无人机最大真高,300米,高度限制,无人驾驶航空器飞行管理暂行条例,国务院令第761号 第十三条第(二)款
飞行行为与性能类,分空域分机型飞行高度速度限制规则,管制区微型无人机最大真高,80米,高度限制,无人驾驶航空器飞行管理暂行条例,国务院令第761号 第十四条
飞行行为与性能类,分空域分机型飞行高度速度限制规则,管制区轻型无人机最大真高,200米,高度限制,无人驾驶航空器飞行管理暂行条例,国务院令第761号 第十四条
飞行行为与性能类,分空域分机型飞行高度速度限制规则,适飞区微型无人机最大平飞速度,50km/h,速度限制,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.35条
飞行行为与性能类,分空域分机型飞行高度速度限制规则,适飞区轻型无人机最大平飞速度,80km/h,速度限制,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.35条
飞行行为与性能类,分空域分机型飞行高度速度限制规则,管制区微型无人机最大平飞速度,40km/h,速度限制,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.35条
飞行行为与性能类,分空域分机型飞行高度速度限制规则,管制区轻型无人机最大平飞速度,60km/h,速度限制,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.35条
飞行行为与性能类,分空域分机型飞行高度速度限制规则,人口稠密区微型无人机速度,≤30km/h,特殊场景限制,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.40条
飞行行为与性能类,分空域分机型飞行高度速度限制规则,人口稠密区轻型无人机速度,≤40km/h,特殊场景限制,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.40条
飞行行为与性能类,飞行器最小安全间隔规则,同航线同向水平间隔,200米,最小安全间隔,低空飞行安全间隔管控规范,T/CICC 27007-2025 第5.1条
飞行行为与性能类,飞行器最小安全间隔规则,同航线同向垂直间隔,50米,最小安全间隔,低空飞行安全间隔管控规范,T/CICC 27007-2025 第5.1条
飞行行为与性能类,飞行器最小安全间隔规则,对向飞行水平间隔,500米,最小安全间隔,低空飞行安全间隔管控规范,T/CICC 27007-2025 第5.2条
飞行行为与性能类,飞行器最小安全间隔规则,对向飞行垂直间隔,100米,最小安全间隔,低空飞行安全间隔管控规范,T/CICC 27007-2025 第5.2条
飞行行为与性能类,飞行器最小安全间隔规则,交叉飞行水平间隔,300米,最小安全间隔,低空飞行安全间隔管控规范,T/CICC 27007-2025 第5.3条
飞行行为与性能类,飞行器最小安全间隔规则,交叉飞行垂直间隔,80米,最小安全间隔,低空飞行安全间隔管控规范,T/CICC 27007-2025 第5.3条
飞行行为与性能类,视距内飞行管控规则,白天目视视距最大距离,≤500米,视距范围限制,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.55条
飞行行为与性能类,视距内飞行管控规则,夜间目视视距最大距离,≤200米,视距范围限制,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.55条
飞行行为与性能类,视距内飞行管控规则,最小能见度,≥5公里,视距飞行环境要求,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.55条
飞行行为与性能类,视距内飞行管控规则,观测员数量要求,起飞重量≥7公斤需2名,人员配置要求,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.60条
飞行行为与性能类,超视距飞行审批与技术规则,审批提前时长,≥24小时,特殊审批要求,无人驾驶航空器飞行管理暂行条例,国务院令第761号 第三十一条
飞行行为与性能类,超视距飞行审批与技术规则,数传链路距离,≥10公里,技术条件要求,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.65条
飞行行为与性能类,超视距飞行审批与技术规则,图传分辨率,≥1080P,技术条件要求,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.65条
飞行行为与性能类,超视距飞行审批与技术规则,实时监控时延,≤1秒,技术条件要求,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.65条
飞行行为与性能类,超视距飞行审批与技术规则,最小通信信噪比,≥15dB,通信质量要求,无人机系统通用要求 第1部分：通信,GB/T 38152.1-2019
气象与环境适应类,分机型气象条件安全限制规则,微型无人机最大允许风速,五级风（≤10.7m/s）,风速限制,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.45条
气象与环境适应类,分机型气象条件安全限制规则,轻型无人机最大允许风速,六级风（≤13.8m/s）,风速限制,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.45条
气象与环境适应类,分机型气象条件安全限制规则,中型无人机最大允许风速,七级风（≤17.1m/s）,风速限制,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.45条
气象与环境适应类,分机型气象条件安全限制规则,微型无人机最低能见度,≥5公里,能见度要求,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.45条
气象与环境适应类,分机型气象条件安全限制规则,轻型无人机最低能见度,≥6公里,能见度要求,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.45条
气象与环境适应类,分机型气象条件安全限制规则,中型无人机最低能见度,≥8公里,能见度要求,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.45条
气象与环境适应类,分机型气象条件安全限制规则,微型无人机最大降水强度,小雨（≤2.5mm/h）,降水限制,低空通导监及气象技术白皮书（行业参考值）,TG7工作组 2025
气象与环境适应类,分机型气象条件安全限制规则,轻型/中型无人机最大降水强度,中雨（≤10mm/h）,降水限制,低空通导监及气象技术白皮书（行业参考值）,TG7工作组 2025
气象与环境适应类,分机型气象条件安全限制规则,微型无人机允许气温范围,-10℃~40℃,气温限制,无人机系统通用要求（行业参考值）,GB/T 38152-2019
气象与环境适应类,分机型气象条件安全限制规则,轻型无人机允许气温范围,-20℃~45℃,气温限制,无人机系统通用要求（行业参考值）,GB/T 38152-2019
气象与环境适应类,分机型气象条件安全限制规则,中型无人机允许气温范围,-30℃~50℃,气温限制,无人机系统通用要求（行业参考值）,GB/T 38152-2019
气象与环境适应类,气象数据接入与告警规则,气象数据空间分辨率,≤1公里,高精度数据要求,低空通导监及气象技术白皮书（行业参考值）,TG7工作组 2025
气象与环境适应类,气象数据接入与告警规则,气象数据更新频率,≤5分钟/次,分钟级更新,低空通导监及气象技术白皮书（行业参考值）,TG7工作组 2025
气象与环境适应类,气象数据接入与告警规则,预警阈值,接近阈值80%,气象告警分级,低空通导监及气象技术白皮书（行业参考值）,TG7工作组 2025
气象与环境适应类,气象数据接入与告警规则,告警阈值,达到阈值90%,气象告警分级,低空通导监及气象技术白皮书（行业参考值）,TG7工作组 2025
气象与环境适应类,气象数据接入与告警规则,禁飞阈值,超过阈值,气象告警分级,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.45条
气象与环境适应类,复杂下垫面环境适应性规则,城市峡谷GPS衰减,30%~70%,环境影响模拟,低空通导监及气象技术白皮书（行业参考值）,TG7工作组 2025
气象与环境适应类,复杂下垫面环境适应性规则,山地GPS衰减,20%~50%,环境影响模拟,低空通导监及气象技术白皮书（行业参考值）,TG7工作组 2025
气象与环境适应类,复杂下垫面环境适应性规则,水面GPS衰减,10%~30%,环境影响模拟,低空通导监及气象技术白皮书（行业参考值）,TG7工作组 2025
气象与环境适应类,复杂下垫面环境适应性规则,城市峡谷操作高度,低于建筑高度20米,操作限制,低空通导监及气象技术白皮书（行业参考值）,TG7工作组 2025
气象与环境适应类,复杂下垫面环境适应性规则,山地操作距离,离山体≥100米,操作限制,低空通导监及气象技术白皮书（行业参考值）,TG7工作组 2025
气象与环境适应类,复杂下垫面环境适应性规则,水面操作高度,离水面≥50米,操作限制,低空通导监及气象技术白皮书（行业参考值）,TG7工作组 2025
通信、导航与监视类,飞行器数据链通信规则,物流运输连通率,≥99.9%,不同场景通信要求,无人驾驶航空器通信链路技术要求,MH/T 9010-2023
通信、导航与监视类,飞行器数据链通信规则,巡检作业连通率,≥99.5%,不同场景通信要求,无人驾驶航空器通信链路技术要求,MH/T 9010-2023
通信、导航与监视类,飞行器数据链通信规则,视距内飞行连通率,≥99%,不同场景通信要求,无人驾驶航空器通信链路技术要求,MH/T 9010-2023
通信、导航与监视类,飞行器数据链通信规则,物流运输上报频率,≤0.5秒/次,实时上报,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.235条
通信、导航与监视类,飞行器数据链通信规则,巡检作业上报频率,1秒/次,定时上报,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.235条
通信、导航与监视类,飞行器数据链通信规则,视距内飞行上报频率,2秒/次,定时上报,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.235条
通信、导航与监视类,飞行器数据链通信规则,物流运输最小带宽,≥2Mbps,带宽要求,无人驾驶航空器通信链路技术要求,MH/T 9010-2023
通信、导航与监视类,飞行器数据链通信规则,巡检作业最小带宽,≥1Mbps,带宽要求,无人驾驶航空器通信链路技术要求,MH/T 9010-2023
通信、导航与监视类,飞行器数据链通信规则,视距内飞行最小带宽,≥512Kbps,带宽要求,无人驾驶航空器通信链路技术要求,MH/T 9010-2023
通信、导航与监视类,卫星导航与备用导航启用规则,卫星定位水平精度,≤2米,定位精度要求,民用航空无人驾驶航空器系统空中交通管理办法,AP-83-TM-2019-01 第5条
通信、导航与监视类,卫星导航与备用导航启用规则,卫星定位垂直精度,≤5米,定位精度要求,民用航空无人驾驶航空器系统空中交通管理办法,AP-83-TM-2019-01 第5条
通信、导航与监视类,卫星导航与备用导航启用规则,信号失效判定阈值,≤10dB持续≥3秒,备用导航触发,无人机系统通用要求 第1部分：通信,GB/T 38152.1-2019
通信、导航与监视类,卫星导航与备用导航启用规则,导航切换时延,≤1秒,快速切换,无人机系统通用要求 第1部分：通信,GB/T 38152.1-2019
通信、导航与监视类,卫星导航与备用导航启用规则,备用定位水平精度,≤10米,备用导航精度,民用航空无人驾驶航空器系统空中交通管理办法,AP-83-TM-2019-01 第5条
通信、导航与监视类,卫星导航与备用导航启用规则,备用定位垂直精度,≤20米,备用导航精度,民用航空无人驾驶航空器系统空中交通管理办法,AP-83-TM-2019-01 第5条
通信、导航与监视类,电子围栏系统强制适配规则,电子围栏数据更新频率,≤5秒/次,实时同步,无人机围栏 行业标准,MH/T 2008-2017 第4条
通信、导航与监视类,电子围栏系统强制适配规则,围栏识别精度,≤1米,高精度识别,无人机围栏 行业标准,MH/T 2008-2017 第4条
通信、导航与监视类,动态地理限制信息响应规则,信息接收时延,≤2秒,快速接收,无人机云系统接口数据规范,MH/T 2009-2017 第6条
通信、导航与监视类,动态地理限制信息响应规则,加载生效时延,≤3秒,快速生效,无人机云系统接口数据规范,MH/T 2009-2017 第6条
通信、导航与监视类,动态地理限制信息响应规则,未响应告警时长,接收后5秒未加载,违规告警,民用无人驾驶航空器运行安全管理规则,CCAR-92 第92.105条
