alarm_id,alarm_level,uav_id,reason,area_id,sim_time
ALM_00001,3,UAV_004,enter_no_fly_area,AREA_002,0.0
ALM_00002,3,UAV_004,enter_no_fly_area,AREA_002,0.5
ALM_00003,3,UAV_004,enter_no_fly_area,AREA_002,1.0
ALM_00004,3,UAV_004,enter_no_fly_area,AREA_002,1.5
ALM_00005,3,UAV_004,enter_no_fly_area,AREA_002,2.0
ALM_00006,3,UAV_004,enter_no_fly_area,AREA_002,2.5
ALM_00007,3,UAV_004,enter_no_fly_area,AREA_002,3.0
ALM_00008,3,UAV_004,enter_no_fly_area,AREA_002,3.5
ALM_00009,3,UAV_004,enter_no_fly_area,AREA_002,4.0
ALM_00010,3,UAV_004,enter_no_fly_area,AREA_002,4.5
ALM_00011,3,UAV_004,enter_no_fly_area,AREA_002,5.0
ALM_00012,3,UAV_004,enter_no_fly_area,AREA_002,5.5
ALM_00013,3,UAV_004,enter_no_fly_area,AREA_002,6.0
ALM_00014,3,UAV_004,enter_no_fly_area,AREA_002,6.5
ALM_00015,3,UAV_004,enter_no_fly_area,AREA_002,7.0
ALM_00016,3,UAV_004,enter_no_fly_area,AREA_002,7.5
ALM_00017,3,UAV_004,enter_no_fly_area,AREA_002,8.0
ALM_00018,3,UAV_004,enter_no_fly_area,AREA_002,8.5
ALM_00019,3,UAV_004,enter_no_fly_area,AREA_002,9.0
ALM_00020,3,UAV_004,enter_no_fly_area,AREA_002,9.5
ALM_00021,3,UAV_004,enter_no_fly_area,AREA_002,10.0
ALM_00022,3,UAV_004,enter_no_fly_area,AREA_002,10.5
ALM_00023,3,UAV_004,enter_no_fly_area,AREA_002,11.0
ALM_00024,3,UAV_004,enter_no_fly_area,AREA_002,11.5
ALM_00025,3,UAV_004,enter_no_fly_area,AREA_002,12.0
ALM_00026,3,UAV_004,enter_no_fly_area,AREA_002,12.5
ALM_00027,3,UAV_004,enter_no_fly_area,AREA_002,13.0
ALM_00028,3,UAV_004,enter_no_fly_area,AREA_002,13.5
ALM_00029,3,UAV_004,enter_no_fly_area,AREA_002,14.0
ALM_00030,3,UAV_004,enter_no_fly_area,AREA_002,14.5
ALM_00031,3,UAV_004,enter_no_fly_area,AREA_002,15.0
ALM_00032,3,UAV_004,enter_no_fly_area,AREA_002,15.5
ALM_00033,3,UAV_004,enter_no_fly_area,AREA_002,16.0
ALM_00034,3,UAV_004,enter_no_fly_area,AREA_002,16.5
ALM_00035,3,UAV_004,enter_no_fly_area,AREA_002,17.0
ALM_00036,3,UAV_004,enter_no_fly_area,AREA_002,17.5
ALM_00037,3,UAV_004,enter_no_fly_area,AREA_002,18.0
ALM_00038,3,UAV_004,enter_no_fly_area,AREA_002,18.5
ALM_00039,3,UAV_004,enter_no_fly_area,AREA_002,19.0
ALM_00040,3,UAV_004,enter_no_fly_area,AREA_002,19.5
ALM_00041,3,UAV_004,enter_no_fly_area,AREA_002,20.0
ALM_00042,3,UAV_004,enter_no_fly_area,AREA_002,20.5
ALM_00043,3,UAV_004,enter_no_fly_area,AREA_002,21.0
ALM_00044,3,UAV_004,enter_no_fly_area,AREA_002,21.5
ALM_00045,3,UAV_004,enter_no_fly_area,AREA_002,22.0
ALM_00046,3,UAV_004,enter_no_fly_area,AREA_002,22.5
ALM_00047,3,UAV_004,enter_no_fly_area,AREA_002,23.0
ALM_00048,3,UAV_004,enter_no_fly_area,AREA_002,23.5
ALM_00049,3,UAV_004,enter_no_fly_area,AREA_002,24.0
ALM_00050,3,UAV_004,enter_no_fly_area,AREA_002,24.5
ALM_00051,3,UAV_004,enter_no_fly_area,AREA_002,25.0
ALM_00052,3,UAV_004,enter_no_fly_area,AREA_002,25.5
ALM_00053,3,UAV_004,enter_no_fly_area,AREA_002,26.0
ALM_00054,3,UAV_004,enter_no_fly_area,AREA_002,26.5
ALM_00055,3,UAV_004,enter_no_fly_area,AREA_002,27.0
ALM_00056,3,UAV_004,enter_no_fly_area,AREA_002,27.5
ALM_00057,3,UAV_004,enter_no_fly_area,AREA_002,28.0
ALM_00058,3,UAV_004,enter_no_fly_area,AREA_002,28.5
ALM_00059,3,UAV_004,enter_no_fly_area,AREA_002,29.0
ALM_00060,3,UAV_004,enter_no_fly_area,AREA_002,29.5
ALM_00061,3,UAV_004,enter_no_fly_area,AREA_002,30.0
ALM_00062,3,UAV_004,enter_no_fly_area,AREA_002,30.5
ALM_00063,3,UAV_004,enter_no_fly_area,AREA_002,31.0
ALM_00064,3,UAV_004,enter_no_fly_area,AREA_002,31.5
ALM_00065,3,UAV_004,enter_no_fly_area,AREA_002,32.0
ALM_00066,3,UAV_004,enter_no_fly_area,AREA_002,32.5
ALM_00067,3,UAV_004,enter_no_fly_area,AREA_002,33.0
ALM_00068,3,UAV_004,enter_no_fly_area,AREA_002,33.5
ALM_00069,3,UAV_004,enter_no_fly_area,AREA_002,34.0
ALM_00070,3,UAV_004,enter_no_fly_area,AREA_002,34.5
ALM_00071,3,UAV_004,enter_no_fly_area,AREA_002,35.0
ALM_00072,3,UAV_004,enter_no_fly_area,AREA_002,35.5
ALM_00073,3,UAV_004,enter_no_fly_area,AREA_002,36.0
ALM_00074,3,UAV_004,enter_no_fly_area,AREA_002,36.5
ALM_00075,3,UAV_004,enter_no_fly_area,AREA_002,37.0
ALM_00076,3,UAV_004,enter_no_fly_area,AREA_002,37.5
ALM_00077,3,UAV_004,enter_no_fly_area,AREA_002,38.0
ALM_00078,3,UAV_004,enter_no_fly_area,AREA_002,38.5
ALM_00079,3,UAV_004,enter_no_fly_area,AREA_002,39.0
ALM_00080,3,UAV_004,enter_no_fly_area,AREA_002,39.5
ALM_00081,3,UAV_004,enter_no_fly_area,AREA_002,40.0
ALM_00082,3,UAV_004,enter_no_fly_area,AREA_002,40.5
ALM_00083,3,UAV_004,enter_no_fly_area,AREA_002,41.0
ALM_00084,3,UAV_004,enter_no_fly_area,AREA_002,41.5
ALM_00085,3,UAV_004,enter_no_fly_area,AREA_002,42.0
ALM_00086,3,UAV_004,enter_no_fly_area,AREA_002,42.5
ALM_00087,3,UAV_004,enter_no_fly_area,AREA_002,43.0
ALM_00088,3,UAV_004,enter_no_fly_area,AREA_002,43.5
ALM_00089,3,UAV_004,enter_no_fly_area,AREA_002,44.0
ALM_00090,3,UAV_004,enter_no_fly_area,AREA_002,44.5
ALM_00091,3,UAV_004,enter_no_fly_area,AREA_002,45.0
ALM_00092,3,UAV_004,enter_no_fly_area,AREA_002,45.5
ALM_00093,3,UAV_004,enter_no_fly_area,AREA_002,46.0
ALM_00094,3,UAV_004,enter_no_fly_area,AREA_002,46.5
ALM_00095,3,UAV_004,enter_no_fly_area,AREA_002,47.0
ALM_00096,3,UAV_004,enter_no_fly_area,AREA_002,47.5
ALM_00097,3,UAV_004,enter_no_fly_area,AREA_002,48.0
ALM_00098,3,UAV_004,enter_no_fly_area,AREA_002,48.5
ALM_00099,3,UAV_004,enter_no_fly_area,AREA_002,49.0
ALM_00100,3,UAV_004,enter_no_fly_area,AREA_002,49.5
ALM_00101,3,UAV_004,enter_no_fly_area,AREA_002,50.0
ALM_00102,3,UAV_004,enter_no_fly_area,AREA_002,50.5
ALM_00103,3,UAV_004,enter_no_fly_area,AREA_002,51.0
ALM_00104,3,UAV_004,enter_no_fly_area,AREA_002,51.5
ALM_00105,3,UAV_004,enter_no_fly_area,AREA_002,52.0
ALM_00106,3,UAV_004,enter_no_fly_area,AREA_002,52.5
ALM_00107,3,UAV_004,enter_no_fly_area,AREA_002,53.0
ALM_00108,3,UAV_004,enter_no_fly_area,AREA_002,53.5
ALM_00109,3,UAV_004,enter_no_fly_area,AREA_002,54.0
ALM_00110,3,UAV_004,enter_no_fly_area,AREA_002,54.5
ALM_00111,3,UAV_004,enter_no_fly_area,AREA_002,55.0
ALM_00112,3,UAV_004,enter_no_fly_area,AREA_002,55.5
ALM_00113,3,UAV_004,enter_no_fly_area,AREA_002,56.0
ALM_00114,3,UAV_004,enter_no_fly_area,AREA_002,56.5
ALM_00115,3,UAV_004,enter_no_fly_area,AREA_002,57.0
ALM_00116,3,UAV_004,enter_no_fly_area,AREA_002,57.5
ALM_00117,3,UAV_004,enter_no_fly_area,AREA_002,58.0
ALM_00118,3,UAV_004,enter_no_fly_area,AREA_002,58.5
ALM_00119,3,UAV_004,enter_no_fly_area,AREA_002,59.0
ALM_00120,3,UAV_004,enter_no_fly_area,AREA_002,59.5
ALM_00121,3,UAV_004,enter_no_fly_area,AREA_002,60.0
ALM_00122,3,UAV_004,enter_no_fly_area,AREA_002,60.5
ALM_00123,3,UAV_004,enter_no_fly_area,AREA_002,61.0
ALM_00124,3,UAV_004,enter_no_fly_area,AREA_002,61.5
ALM_00125,3,UAV_004,enter_no_fly_area,AREA_002,62.0
ALM_00126,3,UAV_004,enter_no_fly_area,AREA_002,62.5
ALM_00127,3,UAV_004,enter_no_fly_area,AREA_002,63.0
ALM_00128,3,UAV_004,enter_no_fly_area,AREA_002,63.5
ALM_00129,3,UAV_004,enter_no_fly_area,AREA_002,64.0
ALM_00130,3,UAV_004,enter_no_fly_area,AREA_002,64.5
ALM_00131,3,UAV_004,enter_no_fly_area,AREA_002,65.0
ALM_00132,3,UAV_004,enter_no_fly_area,AREA_002,65.5
ALM_00133,3,UAV_004,enter_no_fly_area,AREA_002,66.0
ALM_00134,3,UAV_004,enter_no_fly_area,AREA_002,66.5
ALM_00135,3,UAV_004,enter_no_fly_area,AREA_002,67.0
ALM_00136,3,UAV_004,enter_no_fly_area,AREA_002,67.5
ALM_00137,3,UAV_004,enter_no_fly_area,AREA_002,68.0
ALM_00138,3,UAV_004,enter_no_fly_area,AREA_002,68.5
ALM_00139,3,UAV_004,enter_no_fly_area,AREA_002,69.0
ALM_00140,3,UAV_004,enter_no_fly_area,AREA_002,69.5
ALM_00141,3,UAV_004,enter_no_fly_area,AREA_002,70.0
ALM_00142,3,UAV_004,enter_no_fly_area,AREA_002,70.5
ALM_00143,3,UAV_004,enter_no_fly_area,AREA_002,71.0
ALM_00144,3,UAV_004,enter_no_fly_area,AREA_002,71.5
ALM_00145,3,UAV_004,enter_no_fly_area,AREA_002,72.0
ALM_00146,3,UAV_004,enter_no_fly_area,AREA_002,72.5
ALM_00147,3,UAV_004,enter_no_fly_area,AREA_002,73.0
ALM_00148,3,UAV_004,enter_no_fly_area,AREA_002,73.5
ALM_00149,3,UAV_004,enter_no_fly_area,AREA_002,74.0
ALM_00150,3,UAV_004,enter_no_fly_area,AREA_002,74.5
ALM_00151,3,UAV_004,enter_no_fly_area,AREA_002,75.0
ALM_00152,3,UAV_004,enter_no_fly_area,AREA_002,75.5
ALM_00153,3,UAV_004,enter_no_fly_area,AREA_002,76.0
ALM_00154,3,UAV_004,enter_no_fly_area,AREA_002,76.5
ALM_00155,3,UAV_004,enter_no_fly_area,AREA_002,77.0
ALM_00156,3,UAV_004,enter_no_fly_area,AREA_002,77.5
ALM_00157,3,UAV_004,enter_no_fly_area,AREA_002,78.0
ALM_00158,3,UAV_004,enter_no_fly_area,AREA_002,78.5
ALM_00159,3,UAV_004,enter_no_fly_area,AREA_002,79.0
ALM_00160,3,UAV_004,enter_no_fly_area,AREA_002,79.5
ALM_00161,3,UAV_004,enter_no_fly_area,AREA_002,80.0
ALM_00162,3,UAV_004,enter_no_fly_area,AREA_002,80.5
ALM_00163,3,UAV_004,enter_no_fly_area,AREA_002,81.0
ALM_00164,3,UAV_004,enter_no_fly_area,AREA_002,81.5
ALM_00165,3,UAV_004,enter_no_fly_area,AREA_002,82.0
ALM_00166,3,UAV_004,enter_no_fly_area,AREA_002,82.5
ALM_00167,3,UAV_004,enter_no_fly_area,AREA_002,83.0
ALM_00168,3,UAV_004,enter_no_fly_area,AREA_002,83.5
ALM_00169,3,UAV_004,enter_no_fly_area,AREA_002,84.0
ALM_00170,3,UAV_004,enter_no_fly_area,AREA_002,84.5
ALM_00171,3,UAV_004,enter_no_fly_area,AREA_002,85.0
ALM_00172,3,UAV_004,enter_no_fly_area,AREA_002,85.5
ALM_00173,3,UAV_004,enter_no_fly_area,AREA_002,86.0
ALM_00174,3,UAV_004,enter_no_fly_area,AREA_002,86.5
ALM_00175,3,UAV_004,enter_no_fly_area,AREA_002,87.0
ALM_00176,3,UAV_004,enter_no_fly_area,AREA_002,87.5
ALM_00177,3,UAV_004,enter_no_fly_area,AREA_002,88.0
ALM_00178,3,UAV_004,enter_no_fly_area,AREA_002,88.5
ALM_00179,3,UAV_004,enter_no_fly_area,AREA_002,89.0
ALM_00180,3,UAV_004,enter_no_fly_area,AREA_002,89.5
ALM_00181,3,UAV_004,enter_no_fly_area,AREA_002,90.0
ALM_00182,3,UAV_004,enter_no_fly_area,AREA_002,90.5
ALM_00183,3,UAV_003,enter_no_fly_area,AREA_002,91.0
ALM_00184,3,UAV_004,enter_no_fly_area,AREA_002,91.0
ALM_00185,3,UAV_003,enter_no_fly_area,AREA_002,91.5
ALM_00186,3,UAV_004,enter_no_fly_area,AREA_002,91.5
ALM_00187,3,UAV_003,enter_no_fly_area,AREA_002,92.0
ALM_00188,3,UAV_004,enter_no_fly_area,AREA_002,92.0
ALM_00189,3,UAV_003,enter_no_fly_area,AREA_002,92.5
ALM_00190,3,UAV_004,enter_no_fly_area,AREA_002,92.5
ALM_00191,3,UAV_003,enter_no_fly_area,AREA_002,93.0
ALM_00192,3,UAV_004,enter_no_fly_area,AREA_002,93.0
ALM_00193,3,UAV_003,enter_no_fly_area,AREA_002,93.5
ALM_00194,3,UAV_004,enter_no_fly_area,AREA_002,93.5
ALM_00195,3,UAV_003,enter_no_fly_area,AREA_002,94.0
ALM_00196,3,UAV_004,enter_no_fly_area,AREA_002,94.0
ALM_00197,3,UAV_003,enter_no_fly_area,AREA_002,94.5
ALM_00198,3,UAV_004,enter_no_fly_area,AREA_002,94.5
ALM_00199,3,UAV_003,enter_no_fly_area,AREA_002,95.0
ALM_00200,3,UAV_004,enter_no_fly_area,AREA_002,95.0
ALM_00201,3,UAV_003,enter_no_fly_area,AREA_002,95.5
ALM_00202,3,UAV_004,enter_no_fly_area,AREA_002,95.5
ALM_00203,3,UAV_003,enter_no_fly_area,AREA_002,96.0
ALM_00204,3,UAV_004,enter_no_fly_area,AREA_002,96.0
ALM_00205,3,UAV_003,enter_no_fly_area,AREA_002,96.5
ALM_00206,3,UAV_004,enter_no_fly_area,AREA_002,96.5
ALM_00207,3,UAV_003,enter_no_fly_area,AREA_002,97.0
ALM_00208,3,UAV_004,enter_no_fly_area,AREA_002,97.0
ALM_00209,3,UAV_003,enter_no_fly_area,AREA_002,97.5
ALM_00210,3,UAV_004,enter_no_fly_area,AREA_002,97.5
ALM_00211,3,UAV_003,enter_no_fly_area,AREA_002,98.0
ALM_00212,3,UAV_004,enter_no_fly_area,AREA_002,98.0
ALM_00213,3,UAV_003,enter_no_fly_area,AREA_002,98.5
ALM_00214,3,UAV_004,enter_no_fly_area,AREA_002,98.5
ALM_00215,3,UAV_003,enter_no_fly_area,AREA_002,99.0
ALM_00216,3,UAV_004,enter_no_fly_area,AREA_002,99.0
ALM_00217,3,UAV_003,enter_no_fly_area,AREA_002,99.5
ALM_00218,3,UAV_004,enter_no_fly_area,AREA_002,99.5
ALM_00219,3,UAV_003,enter_no_fly_area,AREA_002,100.0
ALM_00220,3,UAV_004,enter_no_fly_area,AREA_002,100.0
ALM_00221,3,UAV_003,enter_no_fly_area,AREA_002,100.5
ALM_00222,3,UAV_004,enter_no_fly_area,AREA_002,100.5
ALM_00223,3,UAV_003,enter_no_fly_area,AREA_002,101.0
ALM_00224,3,UAV_004,enter_no_fly_area,AREA_002,101.0
ALM_00225,3,UAV_003,enter_no_fly_area,AREA_002,101.5
ALM_00226,3,UAV_004,enter_no_fly_area,AREA_002,101.5
ALM_00227,3,UAV_003,enter_no_fly_area,AREA_002,102.0
ALM_00228,3,UAV_004,enter_no_fly_area,AREA_002,102.0
ALM_00229,3,UAV_003,enter_no_fly_area,AREA_002,102.5
ALM_00230,3,UAV_004,enter_no_fly_area,AREA_002,102.5
ALM_00231,3,UAV_003,enter_no_fly_area,AREA_002,103.0
ALM_00232,3,UAV_004,enter_no_fly_area,AREA_002,103.0
ALM_00233,3,UAV_003,enter_no_fly_area,AREA_002,103.5
ALM_00234,3,UAV_004,enter_no_fly_area,AREA_002,103.5
ALM_00235,3,UAV_003,enter_no_fly_area,AREA_002,104.0
ALM_00236,3,UAV_004,enter_no_fly_area,AREA_002,104.0
ALM_00237,3,UAV_003,enter_no_fly_area,AREA_002,104.5
ALM_00238,3,UAV_004,enter_no_fly_area,AREA_002,104.5
ALM_00239,3,UAV_003,enter_no_fly_area,AREA_002,105.0
ALM_00240,3,UAV_004,enter_no_fly_area,AREA_002,105.0
ALM_00241,3,UAV_003,enter_no_fly_area,AREA_002,105.5
ALM_00242,3,UAV_004,enter_no_fly_area,AREA_002,105.5
ALM_00243,3,UAV_003,enter_no_fly_area,AREA_002,106.0
ALM_00244,3,UAV_004,enter_no_fly_area,AREA_002,106.0
ALM_00245,3,UAV_003,enter_no_fly_area,AREA_002,106.5
ALM_00246,3,UAV_004,enter_no_fly_area,AREA_002,106.5
